actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-11-16 23:31 CET,2,good,traffic,0,AKALA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,28.7,0,CHMI,37,45.3,0,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,suburban,0,AKOBA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,26,10.8,CHMI,34,40.8,0,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,traffic,540,ALEGA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,42.8,0,CHMI,40,53.1,36,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,traffic,0,ALERA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,33.1,0,Letiste Pr,38,46.3,39,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,suburban,415,ALIBA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,27.4,8.2,CHMI,39.5,37.4,28.7,1.3,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,traffic,0,APRUA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,20.1,0,CHMI,33,53.6,0,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,3,fair,urban,0,AREPA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,33.9,0,CHMI,45,53.5,0,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,3,fair,suburban,0,ARERA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,30,0,ZU Usti nL,42,48.7,38,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,urban,0,ARIEA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,32.9,,CHMI,31,49,34,1.3,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,traffic,0,ASMIA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,34.4,0,CHMI,34,49.4,33,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,0,Incomplete data,urban,0,ASROA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,0,0,SZU,26,29.1,24,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,urban,0,ASTOA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,7.6,CHMI,36,39.4,22,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,suburban,0,ASUCA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,10.8,CHMI,32,44.5,0,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,3,fair,traffic,0,AVRSA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,52,76.2,0,0,2018-11-16 23:31:00.0
2018-11-16 23:31 CET,2,good,traffic,0,AVYNA,2018-11-16 21:00:00.0 UTC,2018-11-16 22:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,31,4,CHMI,22,47.5,0,0,2018-11-16 23:31:00.0
2018-11-16 22:48 CET,2,good,urban,0,ABREA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,33.7,0,CHMI,40,45,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,urban,0,ACHOA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,23.3,0,CHMI,33,33,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,traffic,0,AKALA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,32.1,0,CHMI,27,46.1,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,suburban,0,AKOBA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,22.2,15,CHMI,33,41.3,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,3,fair,traffic,547,ALEGA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,53.2,0,CHMI,39,54.6,34,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,traffic,0,ALERA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,35.6,0,Letiste Pr,40,47.2,66,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,suburban,400,ALIBA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,26.2,10.2,CHMI,27.5,36.6,40.1,1.3,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,traffic,0,APRUA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,22.6,0,CHMI,31,54.2,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,urban,0,AREPA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,32.5,0,CHMI,38,53.9,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,suburban,0,ARERA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,32.7,0,ZU Usti nL,39,49.5,36,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,urban,0,ARIEA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,34,,CHMI,37,50.6,26,1.3,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,traffic,0,ASMIA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,37.9,0,CHMI,39,51,32,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,urban,0,ASROA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,29.8,0,SZU,25,29.1,23,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,urban,0,ASTOA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,7.8,CHMI,37,40.1,26,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,suburban,0,ASUCA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,11,CHMI,30,45.9,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,3,fair,traffic,0,AVRSA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,50,78.6,0,0,2018-11-16 22:48:00.0
2018-11-16 22:48 CET,2,good,traffic,0,AVYNA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,30.4,4.6,CHMI,39,49.4,0,0,2018-11-16 22:48:00.0
2018-11-16 22:24 CET,2,good,urban,0,ABREA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,33.7,0,CHMI,40,45,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,urban,0,ACHOA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,23.3,0,CHMI,33,33,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,traffic,0,AKALA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,32.1,0,CHMI,27,46.1,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,suburban,0,AKOBA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,22.2,15,CHMI,33,41.3,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,3,fair,traffic,547,ALEGA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,53.2,0,CHMI,39,54.6,34,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,traffic,0,ALERA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,35.6,0,Letiste Pr,40,47.2,66,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,suburban,400,ALIBA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,26.2,10.2,CHMI,27.5,36.6,40.1,1.3,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,traffic,0,APRUA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,22.6,0,CHMI,31,54.2,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,urban,0,AREPA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,32.5,0,CHMI,38,53.9,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,suburban,0,ARERA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,32.7,0,ZU Usti nL,39,49.5,36,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,urban,0,ARIEA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,34,,CHMI,37,50.6,26,1.3,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,traffic,0,ASMIA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,37.9,0,CHMI,39,51,32,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,urban,0,ASROA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,29.8,0,SZU,25,29.1,23,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,urban,0,ASTOA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,7.8,CHMI,37,40.1,26,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,suburban,0,ASUCA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,11,CHMI,30,45.9,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,3,fair,traffic,0,AVRSA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,50,78.6,0,0,2018-11-16 22:24:00.0
2018-11-16 22:24 CET,2,good,traffic,0,AVYNA,2018-11-16 20:00:00.0 UTC,2018-11-16 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,30.4,4.6,CHMI,39,49.4,0,0,2018-11-16 22:24:00.0
2018-11-16 21:48 CET,2,good,urban,0,ABREA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,39.2,0,CHMI,39,45.4,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,urban,0,ACHOA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,29.1,0,CHMI,26,32.6,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,traffic,0,AKALA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,37.1,0,CHMI,38,47.5,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,suburban,0,AKOBA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,25.6,12.8,CHMI,38,41.5,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,3,fair,traffic,549,ALEGA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,60.6,0,CHMI,38,56.5,33,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,3,fair,traffic,0,ALERA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,43.2,0,Letiste Pr,42,48,172,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,suburban,394,ALIBA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,29.3,8.4,CHMI,19.4,36.6,29.2,1.3,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,traffic,0,APRUA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,19.5,0,CHMI,37,54.8,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,urban,0,AREPA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,38.3,0,CHMI,36,55.3,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,3,fair,suburban,0,ARERA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,33.7,0,ZU Usti nL,45,51.7,42,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,urban,0,ARIEA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,32.9,,CHMI,33,52.3,23,1.3,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,traffic,0,ASMIA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,37.7,0,CHMI,40,52.4,22,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,urban,0,ASROA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,32.3,0,SZU,24,29.1,22,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,urban,0,ASTOA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,5.2,CHMI,38,40.3,20,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,suburban,0,ASUCA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,9.8,CHMI,32,47.2,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,3,fair,traffic,0,AVRSA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,55,81.2,0,0,2018-11-16 21:48:00.0
2018-11-16 21:48 CET,2,good,traffic,0,AVYNA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,31.4,5.2,CHMI,40,51.8,0,0,2018-11-16 21:48:00.0
2018-11-16 21:24 CET,2,good,urban,0,ABREA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,39.2,0,CHMI,39,45.4,0,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,urban,0,ACHOA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,29.1,0,CHMI,26,32.6,0,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,traffic,0,AKALA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,37.1,0,CHMI,38,47.5,0,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,suburban,0,AKOBA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,25.6,12.8,CHMI,38,41.5,0,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,3,fair,traffic,549,ALEGA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,60.6,0,CHMI,38,56.5,33,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,3,fair,traffic,0,ALERA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,43.2,0,Letiste Pr,42,48,172,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,suburban,394,ALIBA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,29.3,8.4,CHMI,19.4,36.6,29.2,1.3,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,traffic,0,APRUA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,19.5,0,CHMI,37,54.8,0,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,urban,0,AREPA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,38.3,0,CHMI,36,55.3,0,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,3,fair,suburban,0,ARERA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,33.7,0,ZU Usti nL,45,51.7,42,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,urban,0,ARIEA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,32.9,,CHMI,33,52.3,23,1.3,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,traffic,0,ASMIA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,37.7,0,CHMI,40,52.4,22,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,urban,0,ASROA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,32.3,0,SZU,24,29.1,22,0,2018-11-16 21:24:00.0
2018-11-16 21:24 CET,2,good,urban,0,ASTOA,2018-11-16 19:00:00.0 UTC,2018-11-16 20:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,5.2,CHMI,38,40.3,20,0,2018-11-16 21:24:00.0
