actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-12-24 23:47 CET,1,very good,urban,0,ABREA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,10.9,0,CHMI,7,6.7,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,urban,0,ACHOA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,7.1,0,CHMI,8,7.2,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,traffic,0,AKALA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,13,0,CHMI,9,8.6,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,0,Incomplete data,suburban,0,AKOBA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,0,50.7,CHMI,4,8.6,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,traffic,234,ALEGA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,14.9,0,CHMI,6,6,6,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,traffic,0,ALERA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,11.5,0,Letiste Pr,17,11.8,18,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,suburban,254,ALIBA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,5.7,53.7,CHMI,17.4,7.4,4.5,1.3,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,traffic,0,APRUA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,9.6,0,CHMI,5,8.4,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,urban,0,AREPA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,17.2,0,CHMI,9,11.3,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,suburban,0,ARERA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,6.1,0,ZU Usti nL,9,7.3,9,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,urban,0,ARIEA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,10.5,49.9,CHMI,16,7.8,4,1.3,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,traffic,0,ASMIA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,11.9,0,CHMI,3,6,8,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,urban,0,ASROA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,9.9,0,SZU,5,3.3,4,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,urban,0,ASTOA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,53.1,CHMI,5,7.2,10,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,suburban,0,ASUCA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,53.9,CHMI,5,8.8,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,traffic,0,AVRSA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,11,9.4,0,0,2018-12-24 23:47:00.0
2018-12-24 23:47 CET,1,very good,traffic,0,AVYNA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,10.1,47.1,CHMI,2,9.6,0,0,2018-12-24 23:47:00.0
2018-12-24 23:25 CET,1,very good,urban,0,ABREA,2018-12-24 21:00:00.0 UTC,2018-12-24 22:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,10.9,0,CHMI,7,6.7,0,0,2018-12-24 23:25:00.0
