actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
,3,fair,urban,0,ABREA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,,9.8,0,CHMI,3,,0,0,2018-07-11 23:47:00.0
,3,fair,urban,0,ACHOA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,,18.9,0,CHMI,3,,0,0,2018-07-11 23:47:00.0
,3,fair,traffic,0,AKALA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,,20.9,0,CHMI,9,,0,0,2018-07-11 23:47:00.0
,2,good,suburban,0,AKOBA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,,11.7,64.4,CHMI,9,,0,0,2018-07-11 23:47:00.0
,3,fair,traffic,230,ALEGA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,,57,0,CHMI,8,,0,0,2018-07-11 23:47:00.0
,2,good,traffic,0,ALERA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,,11.7,0,Letiste Pr,13,,0,0,2018-07-11 23:47:00.0
,3,fair,suburban,199,ALIBA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,,13,68.8,CHMI,5.8,,0,3.7,2018-07-11 23:47:00.0
,3,fair,traffic,0,APRUA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,,36.3,0,CHMI,4,,0,0,2018-07-11 23:47:00.0
,3,fair,urban,0,AREPA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,,30.2,0,CHMI,3,,0,0,2018-07-11 23:47:00.0
,3,fair,urban,0,ARIEA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,,15.9,71.4,CHMI,4,,0,1.3,2018-07-11 23:47:00.0
,3,fair,traffic,0,ASMIA,2018-07-11 20:00:00.0 UTC,2018-07-11 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,,20.5,0,CHMI,3,,0,0,2018-07-11 23:47:00.0
